TS|(Arduino),TS|(Rpi),CH4|MQ1|description MQ1,CO|MQ2|description MQ2,Gen|MQ3|description MQ3,Alcohol|MQ4|description MQ4,NH3|MQ5|description MQ5,Comb|MQ6|description MQ6,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41,Session
2023-07-29 18:07:49.434,2023-07-29 18:07:49.534,113.88,159.36,137.73,461.37,128.39,316.07,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:49.538,2023-07-29 18:07:49.638,166.81,131.84,143.08,472.85,148.91,361.15,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:49.638,2023-07-29 18:07:49.738,100.65,149.84,132.19,428.31,193.17,344.24,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:49.739,2023-07-29 18:07:49.838,156.29,129.82,143.37,422.8,101.53,386.34,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:49.839,2023-07-29 18:07:49.938,127.89,145.63,147.09,481.55,163.33,353.54,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:49.939,2023-07-29 18:07:50.039,173.84,150.71,170.9,443.74,186.86,367.5,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.039,2023-07-29 18:07:50.139,138.19,188.9,183.42,445.29,163.59,309.7,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.139,2023-07-29 18:07:50.239,192.64,138.34,193.71,470.54,102.47,358.3,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.240,2023-07-29 18:07:50.339,163.51,106.91,134.48,496.22,116.88,377.49,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.340,2023-07-29 18:07:50.440,146.21,167.83,126.04,454.1,183.49,335.07,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.440,2023-07-29 18:07:50.540,198.0,112.41,142.82,457.17,119.73,337.62,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.540,2023-07-29 18:07:50.640,151.01,168.2,171.56,429.88,129.92,362.85,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.640,2023-07-29 18:07:50.740,107.68,125.23,137.92,442.44,193.56,318.97,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.740,2023-07-29 18:07:50.840,113.21,159.57,109.69,418.59,133.73,344.31,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.840,2023-07-29 18:07:50.940,165.36,194.46,194.95,472.61,133.28,328.16,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:50.941,2023-07-29 18:07:51.041,155.5,149.07,199.23,452.66,117.74,373.62,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.041,2023-07-29 18:07:51.141,148.12,153.24,198.25,413.83,103.95,311.91,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.141,2023-07-29 18:07:51.241,181.44,166.35,188.86,419.98,198.03,356.33,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.242,2023-07-29 18:07:51.342,159.38,141.84,197.53,492.82,151.07,375.72,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.342,2023-07-29 18:07:51.442,153.52,176.93,120.37,455.49,169.74,334.35,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.442,2023-07-29 18:07:51.542,114.8,132.49,127.58,457.61,181.94,331.57,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.542,2023-07-29 18:07:51.642,183.83,165.7,161.07,421.7,161.2,356.57,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.643,2023-07-29 18:07:51.742,124.18,129.88,152.17,457.19,101.74,344.91,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.743,2023-07-29 18:07:51.843,193.6,177.04,178.41,415.08,171.26,331.06,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.843,2023-07-29 18:07:51.943,155.41,144.99,113.68,420.52,199.58,397.88,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:51.943,2023-07-29 18:07:52.043,114.42,104.22,134.39,482.08,119.71,335.29,,,,,,,2023-07-29 18:07:51
