MQSensor,PropName,PropValue,T,RH,ppm_ref,RH0_ref,T0_ref,comment
Start,Start,Start,30.5,86,,,,starting values
MQ4,PPM1,1000,20,65,1000,,,used value for the curve coefficient 
MQ4,PPM2,5000,20,65,1000,,,used value for the curve coefficient 
MQ4,RL1,1,20,65,1000,,,used value for the curve coefficient 
MQ4,RL2,0.58,20,65,1000,,,used value for the curve coefficient 
MQ4,RL,1.28,-10,33,1000,33,20,used value for get inital reistance ratio 
MQ4,RL,1.09,4,33,1000,33,20,used value for get inital reistance ratio
MQ4,RL,1,20,33,1000,33,20,used value for get inital reistance ratio
MQ4,RL,0.9,50,33,1000,33,20,used value for get inital reistance ratio
MQ4,RL,1.09,-10,85,1000,33,20,used value for get inital reistance ratio
MQ4,RL,0.94,4,85,1000,33,20,used value for get inital reistance ratio
MQ4,RL,0.84,20,85,1000,33,20,used value for get inital reistance ratio
MQ4,RL,0.72,50,85,1000,33,20,used value for get inital reistance ratio
MQ7,PPM1,100,20,65,100,,,used value for the curve coefficient 
MQ7,PPM2,4000,20,65,100,,,used value for the curve coefficient 
MQ7,RL1,1,20,65,100,,,used value for the curve coefficient 
MQ7,RL2,0.09,20,65,100,,,used value for the curve coefficient 
MQ7,RL,1.44,-10,33,100,33,20,used value for get inital reistance ratio
MQ7,RL,1.12,4,33,100,33,20,used value for get inital reistance ratio
MQ7,RL,1,20,33,100,33,20,used value for get inital reistance ratio
MQ7,RL,0.65,50,33,100,33,20,used value for get inital reistance ratio
MQ7,RL,1.18,-10,85,100,33,20,used value for get inital reistance ratio
MQ7,RL,0.97,4,85,100,33,20,used value for get inital reistance ratio
MQ7,RL,0.86,20,85,100,33,20,used value for get inital reistance ratio
MQ7,RL,0.74,50,85,100,33,20,used value for get inital reistance ratio
MQ5,PPM1,200,20,65,1000,,,used value for the curve coefficient
MQ5,PPM2,1000,20,65,1000,,,used value for the curve coefficient
MQ5,RL1,0.7,20,65,1000,,,used value for the curve coefficient
MQ5,RL2,0.36,20,65,1000,,,used value for the curve coefficient
MQ5,RL,1.37,-10,33,1000,33,20,used value for get inital reistance ratio
MQ5,RL,1.09,4,33,1000,33,20,used value for get inital reistance ratio
MQ5,RL,1,20,33,1000,33,20,used value for get inital reistance ratio
MQ5,RL,0.84,50,33,1000,33,20,used value for get inital reistance ratio
MQ5,RL,1.13,-10,85,1000,33,20,used value for get inital reistance ratio
MQ5,RL,0.94,4,85,1000,33,20,used value for get inital reistance ratio
MQ5,RL,0.83,20,85,1000,33,20,used value for get inital reistance ratio
MQ5,RL,0.7,50,85,1000,33,20,used value for get inital reistance ratio
MQ3,PPM1,0.43,,,,,,used value for the curve coefficient
MQ3,PPM2,1.7,,,,,,used value for the curve coefficient
MQ3,RL1,1,,,,,,used value for the curve coefficient
MQ3,RL2,0.4,,,,,,used value for the curve coefficient
MQ3,RL,1.59,-10,33,,33,20,used value for get inital reistance ratio
MQ3,RL,1.46,-5,33,,33,20,used value for get inital reistance ratio
MQ3,RL,1.35,0,33,,33,20,used value for get inital reistance ratio
MQ3,RL,1.24,5,33,,33,20,used value for get inital reistance ratio
MQ3,RL,1.13,13,33,,33,20,used value for get inital reistance ratio
MQ3,RL,1,20,33,,33,20,used value for get inital reistance ratio
MQ3,RL,0.93,30,33,,33,20,used value for get inital reistance ratio
MQ3,RL,0.88,40,33,,33,20,used value for get inital reistance ratio
MQ3,RL,0.86,50,33,,33,20,used value for get inital reistance ratio
MQ3,RL,1.36,-10,85,,33,20,used value for get inital reistance ratio
MQ3,RL,1.25,-5,85,,33,20,used value for get inital reistance ratio
MQ3,RL,1.14,0,85,,33,20,used value for get inital reistance ratio
