TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 22:12:00.372,2023-12-06 22:06:15.554,241.00,44.00,146.00,191.00,206.00,223.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:00.564,2023-12-06 22:06:15.747,222.00,46.00,148.00,171.00,205.00,209.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:00.758,2023-12-06 22:06:15.940,276.00,46.00,148.00,202.00,205.00,224.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:00.950,2023-12-06 22:06:16.133,218.00,46.00,147.00,176.00,205.00,212.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:01.143,2023-12-06 22:06:16.326,229.00,46.00,147.00,175.00,204.00,211.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:01.336,2023-12-06 22:06:16.519,289.00,45.00,146.00,211.00,204.00,226.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:01.529,2023-12-06 22:06:16.712,201.00,45.00,145.00,164.00,206.00,205.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:01.722,2023-12-06 22:06:16.906,231.00,45.00,147.00,178.00,204.00,213.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:01.915,2023-12-06 22:06:17.099,285.00,44.00,146.00,212.00,205.00,232.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:02.107,2023-12-06 22:06:17.302,207.00,47.00,147.00,163.00,203.00,201.00,,,,,,,2023-12-06 22:06:17
2023-12-06 22:12:19.470,2023-12-06 22:06:34.797,278.00,46.00,147.00,203.00,204.00,224.00,2023-12-06 22:06:20.294,1698,24.82269287109375,26148,38.09814453125,24968,2023-12-06 22:06:17
2023-12-06 22:12:19.664,2023-12-06 22:06:34.953,213.00,44.00,146.00,174.00,206.00,211.00,2023-12-06 22:06:25.312,1668,24.977569580078125,26206,38.4063720703125,25170,2023-12-06 22:06:17
2023-12-06 22:12:19.856,2023-12-06 22:06:35.117,228.00,45.00,145.00,176.00,203.00,210.00,2023-12-06 22:06:30.324,1647,24.92950439453125,26188,38.629150390625,25316,2023-12-06 22:06:17
2023-12-06 22:12:20.435,2023-12-06 22:06:35.793,231.00,46.00,146.00,177.00,203.00,211.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:20.628,2023-12-06 22:06:35.987,285.00,46.00,148.00,211.00,205.00,232.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:20.821,2023-12-06 22:06:36.182,207.00,46.00,148.00,163.00,203.00,202.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:21.013,2023-12-06 22:06:36.371,231.00,45.00,145.00,178.00,204.00,211.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:21.207,2023-12-06 22:06:36.566,281.00,46.00,148.00,210.00,203.00,230.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:21.399,2023-12-06 22:06:36.760,212.00,46.00,145.00,166.00,204.00,204.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:21.593,2023-12-06 22:06:36.951,232.00,46.00,146.00,179.00,203.00,211.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:21.785,2023-12-06 22:06:37.144,274.00,46.00,145.00,209.00,203.00,230.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:21.978,2023-12-06 22:06:37.340,217.00,45.00,147.00,169.00,203.00,205.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:22.171,2023-12-06 22:06:37.532,249.00,45.00,145.00,184.00,204.00,210.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:22.364,2023-12-06 22:06:37.723,254.00,47.00,147.00,200.00,202.00,226.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
2023-12-06 22:12:22.558,2023-12-06 22:06:37.918,219.00,46.00,147.00,170.00,204.00,207.00,2023-12-06 22:06:35.343,1627,24.905471801757812,26179,38.8885498046875,25486,2023-12-06 22:06:17
