TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-07-31 09:01:22.347,2023-07-31 09:01:22.448,176.06,177.28,121.56,456.62,163.4,312.54,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:22.448,2023-07-31 09:01:22.548,178.93,142.57,183.46,477.66,159.18,312.42,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:22.548,2023-07-31 09:01:22.648,143.53,147.5,134.42,431.63,100.47,393.86,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:22.648,2023-07-31 09:01:22.748,190.05,190.65,102.83,480.9,199.6,399.22,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:22.748,2023-07-31 09:01:22.849,178.48,151.75,145.68,419.36,107.59,342.9,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:22.849,2023-07-31 09:01:22.949,137.62,113.86,180.76,457.15,155.21,311.09,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:22.949,2023-07-31 09:01:23.049,132.05,179.83,191.34,435.91,125.93,375.78,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.049,2023-07-31 09:01:23.150,199.65,162.88,157.03,499.33,128.5,396.32,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.149,2023-07-31 09:01:23.250,162.71,153.03,132.05,427.33,149.19,340.86,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.250,2023-07-31 09:01:23.350,194.64,145.02,163.5,498.7,128.62,339.69,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.350,2023-07-31 09:01:23.450,121.34,110.32,121.9,460.49,148.61,327.73,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.450,2023-07-31 09:01:23.551,101.91,131.05,145.65,494.87,180.76,362.78,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.550,2023-07-31 09:01:23.651,111.87,198.46,128.49,437.67,130.56,306.36,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.651,2023-07-31 09:01:23.751,166.35,173.36,162.3,449.2,188.9,382.68,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.751,2023-07-31 09:01:23.851,130.01,149.92,148.34,402.03,137.01,345.82,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.851,2023-07-31 09:01:23.952,160.2,149.87,171.04,458.98,109.47,396.64,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:23.951,2023-07-31 09:01:24.052,154.98,169.42,177.15,438.68,135.23,373.74,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.051,2023-07-31 09:01:24.152,139.46,169.31,143.71,438.1,166.96,359.69,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.152,2023-07-31 09:01:24.252,109.19,159.43,177.1,407.2,160.7,350.76,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.252,2023-07-31 09:01:24.353,183.45,132.24,110.29,410.82,177.56,318.89,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.352,2023-07-31 09:01:24.453,135.69,100.79,166.52,498.07,193.19,301.36,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.453,2023-07-31 09:01:24.553,159.8,158.95,118.9,422.12,163.24,303.69,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.553,2023-07-31 09:01:24.653,190.66,185.55,193.3,458.18,192.63,312.65,2023-07-31 09:01:19.669,117.29,35.3,1690786879.669802,136.88,1690786879.669802,2023-07-31 08:46:21
2023-07-31 09:01:24.653,2023-07-31 09:01:24.754,111.77,188.68,100.44,412.15,158.07,393.16,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:24.753,2023-07-31 09:01:24.854,120.58,171.7,165.27,411.56,126.67,337.64,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:24.854,2023-07-31 09:01:24.954,115.71,195.04,179.05,497.34,118.89,399.93,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:24.954,2023-07-31 09:01:25.054,154.4,105.17,140.71,401.91,104.08,358.86,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.054,2023-07-31 09:01:25.155,116.34,115.61,135.71,422.65,100.29,379.29,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.154,2023-07-31 09:01:25.255,159.63,150.15,100.76,476.46,113.23,331.46,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.255,2023-07-31 09:01:25.355,170.83,174.35,109.38,475.9,129.9,320.99,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.355,2023-07-31 09:01:25.456,167.19,153.89,106.5,434.37,178.54,322.02,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.455,2023-07-31 09:01:25.556,179.16,166.85,184.24,477.22,187.26,357.54,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.556,2023-07-31 09:01:25.656,187.8,113.23,169.74,483.54,135.45,304.81,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.656,2023-07-31 09:01:25.757,111.32,147.08,176.8,403.32,158.01,308.68,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.756,2023-07-31 09:01:25.857,140.59,197.12,155.32,464.45,186.1,397.99,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.857,2023-07-31 09:01:25.957,122.0,105.04,186.81,442.5,167.48,365.06,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:25.957,2023-07-31 09:01:26.057,103.26,134.98,156.81,475.97,186.16,368.41,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.057,2023-07-31 09:01:26.158,114.22,132.8,118.0,455.62,105.95,384.45,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.157,2023-07-31 09:01:26.258,143.68,121.63,128.42,418.68,170.7,359.89,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.258,2023-07-31 09:01:26.358,117.94,151.61,165.36,418.34,189.38,334.83,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.358,2023-07-31 09:01:26.458,121.95,144.48,135.99,419.0,127.85,321.0,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.458,2023-07-31 09:01:26.559,160.64,198.57,150.16,477.77,171.3,309.64,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.558,2023-07-31 09:01:26.659,164.43,135.76,148.53,487.55,148.49,379.44,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
2023-07-31 09:01:26.659,2023-07-31 09:01:26.759,141.98,159.19,107.49,420.54,165.47,339.6,2023-07-31 09:01:24.670,194.79,33.3,1690786884.6702936,199.34,1690786884.6702936,2023-07-31 08:46:21
