TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-05 21:30:39.187,2023-12-05 21:11:55.105,211.00,40.00,139.00,170.00,152.00,175.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:39.380,2023-12-05 21:11:55.298,280.00,39.00,137.00,219.00,152.00,199.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:39.574,2023-12-05 21:11:55.492,179.00,36.00,140.00,155.00,152.00,162.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:39.767,2023-12-05 21:11:55.685,208.00,40.00,138.00,171.00,152.00,174.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:39.961,2023-12-05 21:11:55.879,288.00,40.00,138.00,223.00,151.00,203.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:40.153,2023-12-05 21:11:56.073,173.00,40.00,138.00,151.00,149.00,161.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:40.347,2023-12-05 21:11:56.266,208.00,39.00,135.00,172.00,151.00,173.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:40.540,2023-12-05 21:11:56.460,295.00,39.00,135.00,220.00,152.00,196.00,,,,,,,2023-12-05 21:11:56
2023-12-05 21:30:58.340,2023-12-05 21:12:14.419,260.00,40.00,138.00,193.00,151.00,179.00,2023-12-05 21:11:59.596,1519,26.494293212890625,26774,33.25958251953125,21797,2023-12-05 21:11:56
2023-12-05 21:30:58.533,2023-12-05 21:12:14.583,234.00,35.00,138.00,198.00,149.00,191.00,2023-12-05 21:12:04.613,1484,26.579742431640625,26806,33.660888671875,22060,2023-12-05 21:11:56
2023-12-05 21:30:58.727,2023-12-05 21:12:14.748,192.00,35.00,137.00,162.00,149.00,168.00,2023-12-05 21:12:09.625,1482,26.496963500976562,26775,33.99200439453125,22277,2023-12-05 21:11:56
2023-12-05 21:30:58.920,2023-12-05 21:12:14.874,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
2023-12-05 21:30:59.114,2023-12-05 21:12:15.208,261.00,39.00,135.00,216.00,152.00,199.00,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
2023-12-05 21:30:59.307,2023-12-05 21:12:15.403,185.00,40.00,140.00,159.00,149.00,165.00,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
2023-12-05 21:30:59.501,2023-12-05 21:12:15.599,210.00,39.00,136.00,170.00,149.00,174.00,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
2023-12-05 21:30:59.694,2023-12-05 21:12:15.789,279.00,39.00,135.00,220.00,151.00,201.00,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
2023-12-05 21:30:59.888,2023-12-05 21:12:15.985,182.00,37.00,137.00,156.00,152.00,164.00,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
2023-12-05 21:31:00.081,2023-12-05 21:12:16.179,209.00,40.00,135.00,172.00,151.00,173.00,2023-12-05 21:12:14.637,1469,26.454238891601562,26759,34.2559814453125,22450,2023-12-05 21:11:56
