TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-06 22:40:20.628,2023-12-06 22:34:37.642,288.00,46.00,144.00,213.00,203.00,231.00,2023-12-06 22:34:33.952,1646,27.581100463867188,27181,33.514404296875,21964,2023-12-06 22:06:17
2023-12-06 22:40:20.822,2023-12-06 22:34:37.838,199.00,46.00,144.00,161.00,203.00,203.00,2023-12-06 22:34:33.952,1646,27.581100463867188,27181,33.514404296875,21964,2023-12-06 22:06:17
2023-12-06 22:40:21.015,2023-12-06 22:34:38.041,229.00,48.00,145.00,178.00,201.00,210.00,2023-12-06 22:34:33.952,1646,27.581100463867188,27181,33.514404296875,21964,2023-12-06 22:06:17
2023-12-06 22:40:21.209,2023-12-06 22:34:38.134,290.00,46.00,145.00,210.00,203.00,226.00,2023-12-06 22:34:33.952,1646,27.581100463867188,27181,33.514404296875,21964,2023-12-06 22:06:17
2023-12-06 22:40:21.401,2023-12-06 22:34:38.328,206.00,46.00,146.00,171.00,201.00,209.00,2023-12-06 22:34:33.952,1646,27.581100463867188,27181,33.514404296875,21964,2023-12-06 22:06:17
2023-12-06 22:40:50.422,2023-12-06 22:35:07.433,215.00,46.00,145.00,175.00,201.00,211.00,2023-12-06 22:34:38.962,1646,27.605133056640625,27190,33.5601806640625,21994,2023-12-06 22:06:17
2023-12-06 22:40:50.615,2023-12-06 22:35:07.594,225.00,46.00,143.00,174.00,202.00,208.00,2023-12-06 22:34:43.972,1646,27.615814208984375,27194,33.47320556640625,21937,2023-12-06 22:06:17
2023-12-06 22:40:50.809,2023-12-06 22:35:07.746,275.00,46.00,145.00,200.00,202.00,220.00,2023-12-06 22:34:48.981,1645,27.68524169921875,27220,33.4930419921875,21950,2023-12-06 22:06:17
2023-12-06 22:40:51.195,2023-12-06 22:35:08.237,220.00,46.00,143.00,172.00,202.00,206.00,2023-12-06 22:34:53.991,1645,27.658538818359375,27210,33.39996337890625,21889,2023-12-06 22:06:17
2023-12-06 22:40:51.388,2023-12-06 22:35:08.432,260.00,48.00,144.00,189.00,202.00,213.00,2023-12-06 22:34:59.008,1645,27.682571411132812,27219,33.41522216796875,21899,2023-12-06 22:06:17
2023-12-06 22:40:51.582,2023-12-06 22:35:08.648,251.00,46.00,145.00,198.00,203.00,223.00,2023-12-06 22:35:04.020,1645,27.64251708984375,27204,33.4381103515625,21914,2023-12-06 22:06:17
2023-12-06 22:40:51.775,2023-12-06 22:35:08.819,214.00,45.00,143.00,168.00,202.00,204.00,2023-12-06 22:35:04.020,1645,27.64251708984375,27204,33.4381103515625,21914,2023-12-06 22:06:17
2023-12-06 22:40:51.969,2023-12-06 22:35:09.016,241.00,46.00,145.00,178.00,203.00,208.00,2023-12-06 22:35:04.020,1645,27.64251708984375,27204,33.4381103515625,21914,2023-12-06 22:06:17
2023-12-06 22:40:52.162,2023-12-06 22:35:09.210,268.00,48.00,142.00,206.00,203.00,226.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:52.356,2023-12-06 22:35:09.404,210.00,46.00,145.00,166.00,201.00,203.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:52.549,2023-12-06 22:35:09.596,230.00,46.00,145.00,177.00,200.00,209.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:52.743,2023-12-06 22:35:09.787,278.00,46.00,143.00,209.00,203.00,229.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:52.937,2023-12-06 22:35:09.982,207.00,48.00,142.00,165.00,200.00,201.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:53.130,2023-12-06 22:35:10.178,229.00,48.00,143.00,178.00,202.00,210.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:53.324,2023-12-06 22:35:10.422,284.00,46.00,144.00,212.00,203.00,230.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:53.517,2023-12-06 22:35:10.590,203.00,46.00,144.00,162.00,203.00,200.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:53.711,2023-12-06 22:35:10.757,229.00,49.00,144.00,178.00,201.00,210.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:53.904,2023-12-06 22:35:10.949,288.00,46.00,143.00,213.00,202.00,231.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:54.097,2023-12-06 22:35:11.150,199.00,46.00,144.00,163.00,201.00,203.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:54.290,2023-12-06 22:35:11.339,229.00,46.00,143.00,178.00,202.00,210.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:54.484,2023-12-06 22:35:11.529,288.00,49.00,143.00,210.00,201.00,225.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:54.677,2023-12-06 22:35:11.726,210.00,48.00,142.00,173.00,201.00,210.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:54.871,2023-12-06 22:35:11.918,226.00,46.00,145.00,176.00,201.00,209.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:55.064,2023-12-06 22:35:12.116,277.00,47.00,143.00,201.00,203.00,221.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:55.258,2023-12-06 22:35:12.318,229.00,46.00,145.00,186.00,201.00,216.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:55.451,2023-12-06 22:35:12.498,220.00,46.00,145.00,171.00,201.00,207.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:55.645,2023-12-06 22:35:12.693,263.00,46.00,143.00,192.00,203.00,215.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:55.839,2023-12-06 22:35:12.890,248.00,47.00,143.00,196.00,203.00,222.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:56.032,2023-12-06 22:35:13.080,216.00,48.00,143.00,169.00,200.00,205.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:56.226,2023-12-06 22:35:13.274,245.00,48.00,143.00,180.00,203.00,208.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:56.419,2023-12-06 22:35:13.471,266.00,46.00,145.00,206.00,201.00,227.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:56.613,2023-12-06 22:35:13.707,211.00,46.00,145.00,167.00,201.00,203.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:56.805,2023-12-06 22:35:13.866,230.00,48.00,145.00,178.00,202.00,211.00,2023-12-06 22:35:09.032,1645,27.57843017578125,27180,33.4747314453125,21938,2023-12-06 22:06:17
2023-12-06 22:40:56.999,2023-12-06 22:35:14.054,277.00,46.00,143.00,208.00,202.00,228.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:57.192,2023-12-06 22:35:14.249,208.00,46.00,143.00,166.00,202.00,202.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:57.386,2023-12-06 22:35:14.437,230.00,46.00,143.00,176.00,202.00,210.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:57.579,2023-12-06 22:35:14.632,283.00,46.00,144.00,211.00,201.00,229.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:57.773,2023-12-06 22:35:14.823,204.00,46.00,145.00,164.00,202.00,200.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:57.966,2023-12-06 22:35:15.021,228.00,48.00,145.00,179.00,201.00,210.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:58.160,2023-12-06 22:35:15.209,288.00,46.00,145.00,214.00,202.00,231.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:58.353,2023-12-06 22:35:15.441,200.00,46.00,145.00,162.00,201.00,202.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:58.547,2023-12-06 22:35:15.607,229.00,46.00,143.00,178.00,202.00,210.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:58.741,2023-12-06 22:35:15.790,291.00,46.00,143.00,210.00,203.00,226.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:58.934,2023-12-06 22:35:15.987,207.00,46.00,144.00,171.00,201.00,208.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:59.128,2023-12-06 22:35:16.179,226.00,48.00,145.00,176.00,201.00,210.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
2023-12-06 22:40:59.321,2023-12-06 22:35:16.372,281.00,46.00,143.00,204.00,202.00,223.00,2023-12-06 22:35:14.042,1645,27.562408447265625,27174,33.50372314453125,21957,2023-12-06 22:06:17
