TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-07 10:04:33.213,2023-12-07 09:59:16.649,201.00,25.00,97.00,148.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:33.404,2023-12-07 09:59:16.840,202.00,26.00,98.00,148.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:33.597,2023-12-07 09:59:17.032,201.00,26.00,97.00,149.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:33.789,2023-12-07 09:59:17.223,202.00,26.00,97.00,149.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:33.982,2023-12-07 09:59:17.415,202.00,26.00,97.00,148.00,100.00,141.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:34.174,2023-12-07 09:59:17.606,202.00,26.00,97.00,148.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:34.367,2023-12-07 09:59:17.798,202.00,26.00,97.00,149.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:34.559,2023-12-07 09:59:17.989,201.00,26.00,97.00,149.00,99.00,141.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:34.751,2023-12-07 09:59:18.180,201.00,26.00,98.00,148.00,99.00,142.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:34.943,2023-12-07 09:59:18.372,201.00,26.00,97.00,149.00,100.00,140.00,,,,,,,2023-12-07 09:59:18
2023-12-07 10:04:52.603,2023-12-07 09:59:36.136,200.00,27.00,95.00,148.00,96.00,139.00,2023-12-07 09:59:21.456,1033,9.3670654296875,20360,52.06451416015625,34121,2023-12-07 09:59:18
2023-12-07 10:04:52.795,2023-12-07 09:59:36.293,201.00,25.00,95.00,148.00,96.00,140.00,2023-12-07 09:59:26.480,839,9.1748046875,20288,53.6346435546875,35150,2023-12-07 09:59:18
2023-12-07 10:04:52.987,2023-12-07 09:59:36.447,201.00,24.00,97.00,147.00,96.00,139.00,2023-12-07 09:59:31.494,731,8.88641357421875,20180,54.51202392578125,35725,2023-12-07 09:59:18
2023-12-07 10:04:53.371,2023-12-07 09:59:36.924,200.00,27.00,96.00,148.00,97.00,138.00,2023-12-07 09:59:36.511,698,8.568649291992188,20061,55.3375244140625,36266,2023-12-07 09:59:18
2023-12-07 10:04:53.563,2023-12-07 09:59:37.117,201.00,24.00,97.00,147.00,96.00,139.00,2023-12-07 09:59:36.511,698,8.568649291992188,20061,55.3375244140625,36266,2023-12-07 09:59:18
2023-12-07 10:04:53.754,2023-12-07 09:59:37.311,202.00,25.00,95.00,148.00,97.00,138.00,2023-12-07 09:59:36.511,698,8.568649291992188,20061,55.3375244140625,36266,2023-12-07 09:59:18
2023-12-07 10:04:53.947,2023-12-07 09:59:37.500,200.00,25.00,96.00,148.00,97.00,139.00,2023-12-07 09:59:36.511,698,8.568649291992188,20061,55.3375244140625,36266,2023-12-07 09:59:18
2023-12-07 10:04:54.138,2023-12-07 09:59:37.706,200.00,26.00,96.00,148.00,97.00,139.00,2023-12-07 09:59:36.511,698,8.568649291992188,20061,55.3375244140625,36266,2023-12-07 09:59:18
