TS|(Overall),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCDtime|SCD41|descriptionSCD41,CO2|SCD41|descriptionSCD41,C|SCD41|descriptionSCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-07 10:39:47.938,2023-12-07 10:34:33.231,201.00,27.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:10.974,604,8.162765502929688,19909,60.87188720703125,39893,2023-12-07 09:59:18
2023-12-07 10:39:48.130,2023-12-07 10:34:33.414,200.00,26.00,98.00,148.00,101.00,140.00,2023-12-07 10:34:15.986,604,8.218841552734375,19930,60.97259521484375,39959,2023-12-07 09:59:18
2023-12-07 10:39:48.323,2023-12-07 10:34:33.628,201.00,27.00,98.00,148.00,101.00,141.00,2023-12-07 10:34:20.999,604,8.336334228515625,19974,60.96038818359375,39951,2023-12-07 09:59:18
2023-12-07 10:39:48.516,2023-12-07 10:34:33.786,201.00,27.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:26.010,603,8.539276123046875,20050,60.9039306640625,39914,2023-12-07 09:59:18
2023-12-07 10:39:48.709,2023-12-07 10:34:33.938,200.00,26.00,98.00,148.00,101.00,141.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:48.902,2023-12-07 10:34:34.111,201.00,27.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:49.095,2023-12-07 10:34:34.297,201.00,27.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:49.288,2023-12-07 10:34:34.488,200.00,26.00,98.00,149.00,101.00,141.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:49.481,2023-12-07 10:34:34.730,201.00,27.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:49.673,2023-12-07 10:34:34.887,201.00,27.00,98.00,148.00,101.00,140.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:49.867,2023-12-07 10:34:35.069,200.00,26.00,98.00,149.00,101.00,141.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:50.059,2023-12-07 10:34:35.263,200.00,26.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:50.253,2023-12-07 10:34:35.456,201.00,27.00,97.00,149.00,101.00,140.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:50.638,2023-12-07 10:34:35.944,201.00,26.00,98.00,149.00,101.00,139.00,2023-12-07 10:34:31.022,604,8.667449951171875,20098,60.67962646484375,39767,2023-12-07 09:59:18
2023-12-07 10:39:50.832,2023-12-07 10:34:36.113,201.00,27.00,98.00,149.00,100.00,140.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:51.024,2023-12-07 10:34:36.275,200.00,26.00,98.00,148.00,101.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:51.218,2023-12-07 10:34:36.440,200.00,26.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:51.410,2023-12-07 10:34:36.609,201.00,27.00,98.00,148.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:51.604,2023-12-07 10:34:36.798,201.00,27.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:51.796,2023-12-07 10:34:36.988,201.00,24.00,99.00,148.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:51.989,2023-12-07 10:34:37.193,200.00,27.00,97.00,148.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:52.182,2023-12-07 10:34:37.389,201.00,27.00,98.00,148.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:52.375,2023-12-07 10:34:37.579,201.00,25.00,99.00,149.00,100.00,140.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:52.568,2023-12-07 10:34:37.772,201.00,25.00,99.00,147.00,101.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:52.761,2023-12-07 10:34:37.966,200.00,27.00,97.00,149.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:52.953,2023-12-07 10:34:38.181,200.00,27.00,97.00,148.00,100.00,140.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:53.147,2023-12-07 10:34:38.352,201.00,26.00,98.00,148.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:53.339,2023-12-07 10:34:38.545,200.00,27.00,97.00,148.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:53.533,2023-12-07 10:34:38.728,201.00,26.00,98.00,149.00,101.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:53.725,2023-12-07 10:34:38.928,201.00,27.00,98.00,149.00,100.00,141.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:39:53.919,2023-12-07 10:34:39.139,201.00,26.00,97.00,148.00,100.00,140.00,2023-12-07 10:34:36.033,603,8.9825439453125,20216,60.302734375,39520,2023-12-07 09:59:18
2023-12-07 10:40:06.267,2023-12-07 10:34:51.478,201.00,26.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:41.044,603,9.1534423828125,20280,60.07080078125,39368,2023-12-07 09:59:18
2023-12-07 10:40:06.460,2023-12-07 10:34:51.668,201.00,26.00,98.00,148.00,100.00,140.00,2023-12-07 10:34:46.054,602,9.265594482421875,20322,59.765625,39168,2023-12-07 09:59:18
2023-12-07 10:40:06.653,2023-12-07 10:34:51.870,201.00,27.00,97.00,148.00,100.00,140.00,2023-12-07 10:34:51.090,603,9.44183349609375,20388,59.4879150390625,38986,2023-12-07 09:59:18
2023-12-07 10:40:06.846,2023-12-07 10:34:52.096,201.00,26.00,97.00,148.00,100.00,140.00,2023-12-07 10:34:51.090,603,9.44183349609375,20388,59.4879150390625,38986,2023-12-07 09:59:18
